Setup,Nodes,Deg,Rep,Z_Size,Requested_CITs,Performed_CITs,Bypassed_CITs
SetupA_Nodes,10,3,0,0,90,46,44
SetupA_Nodes,10,3,0,1,530,251,279
SetupA_Nodes,10,3,0,2,277,199,78
SetupA_Nodes,10,3,0,3,104,94,10
SetupA_Nodes,10,3,0,4,40,37,3
SetupA_Nodes,10,3,0,5,0,0,0
SetupA_Nodes,10,3,0,6,0,0,0
SetupA_Nodes,10,3,0,7,0,0,0
SetupA_Nodes,10,3,0,8,0,0,0
SetupA_Nodes,10,3,1,0,90,46,44
SetupA_Nodes,10,3,1,1,407,169,238
SetupA_Nodes,10,3,1,2,348,224,124
SetupA_Nodes,10,3,1,3,60,50,10
SetupA_Nodes,10,3,1,4,5,5,0
SetupA_Nodes,10,3,1,5,0,0,0
SetupA_Nodes,10,3,1,6,0,0,0
SetupA_Nodes,10,3,1,7,0,0,0
SetupA_Nodes,10,3,1,8,0,0,0
SetupA_Nodes,10,3,2,0,90,46,44
SetupA_Nodes,10,3,2,1,240,96,144
SetupA_Nodes,10,3,2,2,483,222,261
SetupA_Nodes,10,3,2,3,176,128,48
SetupA_Nodes,10,3,2,4,10,10,0
SetupA_Nodes,10,3,2,5,0,0,0
SetupA_Nodes,10,3,2,6,0,0,0
SetupA_Nodes,10,3,2,7,0,0,0
SetupA_Nodes,10,3,2,8,0,0,0
SetupA_Nodes,10,3,3,0,90,46,44
SetupA_Nodes,10,3,3,1,354,144,210
SetupA_Nodes,10,3,3,2,656,320,336
SetupA_Nodes,10,3,3,3,109,70,39
SetupA_Nodes,10,3,3,4,0,0,0
SetupA_Nodes,10,3,3,5,0,0,0
SetupA_Nodes,10,3,3,6,0,0,0
SetupA_Nodes,10,3,3,7,0,0,0
SetupA_Nodes,10,3,3,8,0,0,0
SetupA_Nodes,10,3,4,0,90,46,44
SetupA_Nodes,10,3,4,1,626,296,330
SetupA_Nodes,10,3,4,2,1090,650,440
SetupA_Nodes,10,3,4,3,103,94,9
SetupA_Nodes,10,3,4,4,30,30,0
SetupA_Nodes,10,3,4,5,6,6,0
SetupA_Nodes,10,3,4,6,0,0,0
SetupA_Nodes,10,3,4,7,0,0,0
SetupA_Nodes,10,3,4,8,0,0,0
SetupA_Nodes,10,3,5,0,90,46,44
SetupA_Nodes,10,3,5,1,476,225,251
SetupA_Nodes,10,3,5,2,560,307,253
SetupA_Nodes,10,3,5,3,125,110,15
SetupA_Nodes,10,3,5,4,5,5,0
SetupA_Nodes,10,3,5,5,0,0,0
SetupA_Nodes,10,3,5,6,0,0,0
SetupA_Nodes,10,3,5,7,0,0,0
SetupA_Nodes,10,3,5,8,0,0,0
SetupA_Nodes,10,3,6,0,90,46,44
SetupA_Nodes,10,3,6,1,490,245,245
SetupA_Nodes,10,3,6,2,264,171,93
SetupA_Nodes,10,3,6,3,209,152,57
SetupA_Nodes,10,3,6,4,10,10,0
SetupA_Nodes,10,3,6,5,0,0,0
SetupA_Nodes,10,3,6,6,0,0,0
SetupA_Nodes,10,3,6,7,0,0,0
SetupA_Nodes,10,3,6,8,0,0,0
SetupA_Nodes,10,3,7,0,90,46,44
SetupA_Nodes,10,3,7,1,442,199,243
SetupA_Nodes,10,3,7,2,581,353,228
SetupA_Nodes,10,3,7,3,120,103,17
SetupA_Nodes,10,3,7,4,0,0,0
SetupA_Nodes,10,3,7,5,0,0,0
SetupA_Nodes,10,3,7,6,0,0,0
SetupA_Nodes,10,3,7,7,0,0,0
SetupA_Nodes,10,3,7,8,0,0,0
SetupA_Nodes,10,3,8,0,90,46,44
SetupA_Nodes,10,3,8,1,607,291,316
SetupA_Nodes,10,3,8,2,776,453,323
SetupA_Nodes,10,3,8,3,176,164,12
SetupA_Nodes,10,3,8,4,30,30,0
SetupA_Nodes,10,3,8,5,6,6,0
SetupA_Nodes,10,3,8,6,0,0,0
SetupA_Nodes,10,3,8,7,0,0,0
SetupA_Nodes,10,3,8,8,0,0,0
SetupA_Nodes,10,3,9,0,90,46,44
SetupA_Nodes,10,3,9,1,178,51,127
SetupA_Nodes,10,3,9,2,321,110,211
SetupA_Nodes,10,3,9,3,436,127,309
SetupA_Nodes,10,3,9,4,280,54,226
SetupA_Nodes,10,3,9,5,6,0,6
SetupA_Nodes,10,3,9,6,0,0,0
SetupA_Nodes,10,3,9,7,0,0,0
SetupA_Nodes,10,3,9,8,0,0,0
SetupA_Nodes,10,3,10,0,90,46,44
SetupA_Nodes,10,3,10,1,490,232,258
SetupA_Nodes,10,3,10,2,289,226,63
SetupA_Nodes,10,3,10,3,32,28,4
SetupA_Nodes,10,3,10,4,5,5,0
SetupA_Nodes,10,3,10,5,0,0,0
SetupA_Nodes,10,3,10,6,0,0,0
SetupA_Nodes,10,3,10,7,0,0,0
SetupA_Nodes,10,3,10,8,0,0,0
SetupA_Nodes,10,3,11,0,90,46,44
SetupA_Nodes,10,3,11,1,290,103,187
SetupA_Nodes,10,3,11,2,441,234,207
SetupA_Nodes,10,3,11,3,272,213,59
SetupA_Nodes,10,3,11,4,10,10,0
SetupA_Nodes,10,3,11,5,0,0,0
SetupA_Nodes,10,3,11,6,0,0,0
SetupA_Nodes,10,3,11,7,0,0,0
SetupA_Nodes,10,3,11,8,0,0,0
SetupA_Nodes,10,3,12,0,90,46,44
SetupA_Nodes,10,3,12,1,359,138,221
SetupA_Nodes,10,3,12,2,575,337,238
SetupA_Nodes,10,3,12,3,315,185,130
SetupA_Nodes,10,3,12,4,54,44,10
SetupA_Nodes,10,3,12,5,6,6,0
SetupA_Nodes,10,3,12,6,0,0,0
SetupA_Nodes,10,3,12,7,0,0,0
SetupA_Nodes,10,3,12,8,0,0,0
SetupA_Nodes,10,3,13,0,90,46,44
SetupA_Nodes,10,3,13,1,227,78,149
SetupA_Nodes,10,3,13,2,376,133,243
SetupA_Nodes,10,3,13,3,308,87,221
SetupA_Nodes,10,3,13,4,210,43,167
SetupA_Nodes,10,3,13,5,0,0,0
SetupA_Nodes,10,3,13,6,0,0,0
SetupA_Nodes,10,3,13,7,0,0,0
SetupA_Nodes,10,3,13,8,0,0,0
SetupA_Nodes,10,3,14,0,90,46,44
SetupA_Nodes,10,3,14,1,395,181,214
SetupA_Nodes,10,3,14,2,569,334,235
SetupA_Nodes,10,3,14,3,92,81,11
SetupA_Nodes,10,3,14,4,10,10,0
SetupA_Nodes,10,3,14,5,0,0,0
SetupA_Nodes,10,3,14,6,0,0,0
SetupA_Nodes,10,3,14,7,0,0,0
SetupA_Nodes,10,3,14,8,0,0,0
SetupA_Nodes,10,3,15,0,90,46,44
SetupA_Nodes,10,3,15,1,267,99,168
SetupA_Nodes,10,3,15,2,327,153,174
SetupA_Nodes,10,3,15,3,436,206,230
SetupA_Nodes,10,3,15,4,93,50,43
SetupA_Nodes,10,3,15,5,6,6,0
SetupA_Nodes,10,3,15,6,0,0,0
SetupA_Nodes,10,3,15,7,0,0,0
SetupA_Nodes,10,3,15,8,0,0,0
SetupA_Nodes,10,3,16,0,90,46,44
SetupA_Nodes,10,3,16,1,378,171,207
SetupA_Nodes,10,3,16,2,311,198,113
SetupA_Nodes,10,3,16,3,86,73,13
SetupA_Nodes,10,3,16,4,30,30,0
SetupA_Nodes,10,3,16,5,6,6,0
SetupA_Nodes,10,3,16,6,0,0,0
SetupA_Nodes,10,3,16,7,0,0,0
SetupA_Nodes,10,3,16,8,0,0,0
SetupA_Nodes,10,3,17,0,90,46,44
SetupA_Nodes,10,3,17,1,332,154,178
SetupA_Nodes,10,3,17,2,283,155,128
SetupA_Nodes,10,3,17,3,164,113,51
SetupA_Nodes,10,3,17,4,36,28,8
SetupA_Nodes,10,3,17,5,0,0,0
SetupA_Nodes,10,3,17,6,0,0,0
SetupA_Nodes,10,3,17,7,0,0,0
